Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results
chai tea bags,Transactional,2900,"0.23,0.23,0.23,0.35,0.35,1.00,0.81,0.54,0.23,0.23,0.12,0.16",17,0.56,1.00,
what does chai tea taste like,Informational,2900,"0.30,0.30,1.00,1.00,0.53,0.44,0.53,0.67,0.35,0.30,0.67,0.23",29,0.32,0.00,38000000
best chai tea,Commercial,2400,"0.54,0.43,0.29,1.00,0.81,0.65,0.65,1.00,0.43,0.29,0.22,0.20",21,0.44,1.00,82100000
vanilla chai tea,Transactional,2400,"0.36,0.53,0.44,0.67,0.80,0.80,0.67,1.00,0.67,0.67,0.53,0.53",19,0.58,1.00,29900000
how much caffeine in chai tea latte,Informational,1900,"0.65,0.65,0.82,0.65,0.82,1.00,0.20,0.82,0.24,0.82,0.55,0.34",24,6.88,0.00,9040000
starbucks chai tea latte recipe,Informational,1900,"0.45,0.55,0.65,0.83,0.83,0.55,0.55,0.65,1.00,0.83,0.65,0.65",29,0.44,0.00,6790000
chai tea latte caffeine,Informational,1600,"0.18,0.16,1.00,0.24,0.81,0.18,0.16,0.18,0.29,0.18,0.18,0.16",22,2.86,0.07,8390000
decaf chai tea,Transactional,1600,"0.24,0.66,0.66,0.79,0.79,1.00,0.79,1.00,0.79,0.79,0.41,1.00",16,0.58,0.81,6210000
does chai tea latte have caffeine,Informational,1600,"0.27,0.27,0.36,0.80,0.53,1.00,0.27,0.27,0.27,0.27,0.36,0.24",24,0.00,0.00,8280000
chai ho jai - the tea room.,"Informational, Transactional",1300,"0.55,0.66,1.00,0.25,0.34,0.12,0.66,0.06,1.00,0.00,0.00,0.00",26,0.00,0.00,55
chai tea latte ice,Informational,1300,"0.55,0.65,1.00,0.20,0.24,0.13,0.44,0.07,0.65,0.55,0.55,0.44",26,0.72,0.28,15000000
dunkin chai tea,"Informational, Commercial",1300,"0.46,0.46,0.52,0.15,0.69,0.52,0.46,0.52,0.52,0.52,1.00,0.06",26,0.32,0.02,3220000
masala chai tea,Informational,1300,"0.24,0.24,0.30,0.30,1.00,1.00,0.41,0.41,0.54,0.79,0.79,0.79",25,0.54,1.00,12800000
mystic chai tea,Commercial,1300,"0.54,0.29,0.41,0.29,1.00,0.41,0.54,0.67,0.54,0.41,0.29,0.24",23,0.77,1.00,69
starbucks chai tea latte nutrition,"Informational, Transactional",1300,"0.55,0.30,0.65,0.08,0.55,0.34,0.65,1.00,0.34,0.30,0.34,0.24",29,0.95,0.10,
chai tea latte dunkin,"Informational, Commercial",1000,"0.66,0.79,1.00,0.30,0.24,0.16,0.79,0.10,0.07,0.05,0.05,0.24",27,0.32,0.02,2490000
how much caffeine is in chai tea,Informational,1000,"0.46,0.68,0.25,0.52,0.52,0.52,0.31,1.00,0.68,1.00,0.85,0.85",27,0.00,0.00,13600000
how to make starbucks chai tea latte,Informational,1000,"0.55,0.37,0.62,0.55,0.62,0.62,0.81,1.00,0.55,0.62,0.81,0.62",26,0.43,0.01,7360000
loose leaf chai tea,Transactional,1000,"0.13,0.20,0.24,0.36,0.41,1.00,0.66,0.54,0.30,0.36,0.41,0.30",20,0.96,1.00,4910000
starbucks pumpkin chai tea latte,Informational,1000,"0.01,0.02,0.08,1.00,0.08,0.54,0.04,0.03,0.02,0.00,0.01,0.03",28,0.99,0.02,2730000
